<<<<<<< HEAD
Lat,Long,Max Temp,Humidity,Wind,Cloudiness,Date
569.0,569.0,569.0,569.0,569.0,569.0,569.0
21.372030579964854,18.460630404217923,47.59318101933216,73.9402460456942,8.229490333919156,54.878734622144115,1611030793.1107206
32.80246375672215,90.94238619366136,32.770073988233335,19.435518540169447,5.90474563741742,39.22036498277286,76.86255366557867
-54.8,-179.1667,-59.8,1.0,0.31,0.0,1611030092.0
-3.9281,-63.8491,28.6,64.0,3.78,14.0,1611030764.0
25.4833,22.3647,57.2,78.0,6.91,66.0,1611030804.0
49.2167,99.825,72.95,87.0,11.43,92.0,1611030844.0
78.2186,179.3167,102.2,100.0,39.12,100.0,1611030888.0
=======
Lat,Long,Max Temp,Humidity,Wind,Cloudiness,Date
569.0,569.0,569.0,569.0,569.0,569.0,569.0
21.372030579964854,18.460630404217923,47.59318101933216,73.9402460456942,8.229490333919156,54.878734622144115,1611030793.1107206
32.80246375672215,90.94238619366136,32.770073988233335,19.435518540169447,5.90474563741742,39.22036498277286,76.86255366557867
-54.8,-179.1667,-59.8,1.0,0.31,0.0,1611030092.0
-3.9281,-63.8491,28.6,64.0,3.78,14.0,1611030764.0
25.4833,22.3647,57.2,78.0,6.91,66.0,1611030804.0
49.2167,99.825,72.95,87.0,11.43,92.0,1611030844.0
78.2186,179.3167,102.2,100.0,39.12,100.0,1611030888.0
>>>>>>> 5905a6803f17c66d36113dfe2abd51da3d16347c
